method,dataset,p,k-1,ParTime
basic,out.github,2,3813,282
basic,out.github,4,12230,270
basic,out.github,8,24144,286
basic,out.github,16,39248,314
basic,out.github,32,56049,362
basic,out.github,64,73747,427
basic,out.github,128,93795,525
basic,out.github,256,114752,650
basic,out.github-swap.txt,2,11328,338
basic,out.github-swap.txt,4,19867,336
basic,out.github-swap.txt,8,25410,345
basic,out.github-swap.txt,16,34944,371
basic,out.github-swap.txt,32,47911,423
basic,out.github-swap.txt,64,63025,472
basic,out.github-swap.txt,128,80060,549
basic,out.github-swap.txt,256,99047,647
basic,out.actor-movie,2,52983,982
basic,out.actor-movie,4,112773,1063
basic,out.actor-movie,8,154542,1155
basic,out.actor-movie,16,197347,1214
basic,out.actor-movie,32,238765,1302
basic,out.actor-movie,64,302248,1424
basic,out.actor-movie,128,361041,1521
basic,out.actor-movie,256,443435,1697
basic,out.actor-movie-swap.txt,2,37941,1151
basic,out.actor-movie-swap.txt,4,69982,1163
basic,out.actor-movie-swap.txt,8,122220,1277
basic,out.actor-movie-swap.txt,16,191784,1428
basic,out.actor-movie-swap.txt,32,250713,1583
basic,out.actor-movie-swap.txt,64,293545,1679
basic,out.actor-movie-swap.txt,128,353204,1786
basic,out.actor-movie-swap.txt,256,410413,1916
basic,out.dblp-author,2,455340,14775
basic,out.dblp-author,4,932162,14632
basic,out.dblp-author,8,1406026,14731
basic,out.dblp-author,16,1889999,14140
basic,out.dblp-author,32,2274883,13915
basic,out.dblp-author,64,2518880,13580
basic,out.dblp-author,128,2676076,13133
basic,out.dblp-author,256,2771823,12721
basic,out.dblp-author-swap.txt,2,712231,20619
basic,out.dblp-author-swap.txt,4,986676,21986
basic,out.dblp-author-swap.txt,8,1109320,23226
basic,out.dblp-author-swap.txt,16,1304100,28906
basic,out.dblp-author-swap.txt,32,1489922,28925
basic,out.dblp-author-swap.txt,64,1700317,28809
basic,out.dblp-author-swap.txt,128,1851568,27966
basic,out.dblp-author-swap.txt,256,1985805,26014
basic,reuters.txt,2,88939,65180
basic,reuters.txt,4,229446,90197
basic,reuters.txt,8,436297,142531
basic,reuters.txt,16,727470,247915
basic,reuters.txt,32,1102938,459218
basic,reuters.txt,64,1566898,872808
basic,reuters.txt,128,2126262,1665661
basic,reuters.txt,256,2825494,3149085
basic,reuters-swap.txt,2,106689,35140
basic,reuters-swap.txt,4,252806,35292
basic,reuters-swap.txt,8,538883,36030
basic,reuters-swap.txt,16,982181,37536
basic,reuters-swap.txt,32,1634299,40322
basic,reuters-swap.txt,64,2568329,45037
basic,reuters-swap.txt,128,3872453,53604
basic,reuters-swap.txt,256,5645138,68114
basic,out.trackers,2,428212,239694
basic,out.trackers,4,1100511,277544
basic,out.trackers,8,1818414,350533
basic,out.trackers,16,2631359,488722
basic,out.trackers,32,3501279,750527
basic,out.trackers,64,4515355,1237430
basic,out.trackers,128,5649939,2274305
basic,out.trackers,256,6891020,3837571
basic,out.trackers-swap.txt,2,121365,155628
basic,out.trackers-swap.txt,4,1653000,157258
basic,out.trackers-swap.txt,8,2712872,159156
basic,out.trackers-swap.txt,16,3848010,164202
basic,out.trackers-swap.txt,32,5207822,173569
basic,out.trackers-swap.txt,64,6792018,187453
basic,out.trackers-swap.txt,128,8600892,205337
basic,out.trackers-swap.txt,256,10581313,229111
basic,out.orkut-groupmemberships,2,1439981,434683
basic,out.orkut-groupmemberships,4,5659010,506610
basic,out.orkut-groupmemberships,8,12270938,653517
basic,out.orkut-groupmemberships,16,20462463,946596
basic,out.orkut-groupmemberships,32,29984676,1494515
basic,out.orkut-groupmemberships,64,40100162,2432588
basic,out.orkut-groupmemberships,128,50439603,4031233
basic,out.orkut-groupmemberships,256,61297150,6056292
basic,out.orkut-groupmemberships-swap.txt,2,1277990,340979
basic,out.orkut-groupmemberships-swap.txt,4,3282748,372478
basic,out.orkut-groupmemberships-swap.txt,8,5917134,431717
basic,out.orkut-groupmemberships-swap.txt,16,9661962,521513
basic,out.orkut-groupmemberships-swap.txt,32,14599328,672151
basic,out.orkut-groupmemberships-swap.txt,64,20463567,992760
basic,out.orkut-groupmemberships-swap.txt,128,27233719,1317924
basic,out.orkut-groupmemberships-swap.txt,256,35682304,1815318
basic,enwiki.txt,2,952197,386846
basic,enwiki.txt,4,2024232,375246
basic,enwiki.txt,8,3469313,385039
basic,enwiki.txt,16,5344695,403163
basic,enwiki.txt,32,7776167,430242
basic,enwiki.txt,64,10915943,466469
basic,enwiki.txt,128,15083900,528276
basic,enwiki.txt,256,20758424,620675
basic,enwiki-swap.txt,2,243982,562673
basic,enwiki-swap.txt,4,1091011,608887
basic,enwiki-swap.txt,8,1851265,738658
basic,enwiki-swap.txt,16,2955503,1001205
basic,enwiki-swap.txt,32,4470086,1496742
basic,enwiki-swap.txt,64,6364817,2684024
basic,enwiki-swap.txt,128,8737709,5024418
basic,enwiki-swap.txt,256,11668132,8715573
entropy,out.github,2,2023,375
entropy,out.github,4,11462,378
entropy,out.github,8,23355,398
entropy,out.github,16,37376,353
entropy,out.github,32,53900,394
entropy,out.github,64,71761,473
entropy,out.github,128,91238,582
entropy,out.github,256,112695,718
entropy,out.github-swap.txt,2,5955,373
entropy,out.github-swap.txt,4,17141,377
entropy,out.github-swap.txt,8,25027,391
entropy,out.github-swap.txt,16,33398,419
entropy,out.github-swap.txt,32,45412,461
entropy,out.github-swap.txt,64,59849,527
entropy,out.github-swap.txt,128,76692,627
entropy,out.github-swap.txt,256,95705,729
entropy,out.actor-movie,2,48687,1076
entropy,out.actor-movie,4,106008,1134
entropy,out.actor-movie,8,137352,1206
entropy,out.actor-movie,16,183879,1286
entropy,out.actor-movie,32,221070,1351
entropy,out.actor-movie,64,290070,1493
entropy,out.actor-movie,128,344673,1608
entropy,out.actor-movie,256,424176,2010
entropy,out.actor-movie-swap.txt,2,25168,1501
entropy,out.actor-movie-swap.txt,4,66400,1287
entropy,out.actor-movie-swap.txt,8,114249,1396
entropy,out.actor-movie-swap.txt,16,176916,1534
entropy,out.actor-movie-swap.txt,32,238277,1684
entropy,out.actor-movie-swap.txt,64,282755,1779
entropy,out.actor-movie-swap.txt,128,326586,1887
entropy,out.actor-movie-swap.txt,256,391799,2036
entropy,out.dblp-author,2,406502,15773
entropy,out.dblp-author,4,906969,15859
entropy,out.dblp-author,8,1381858,17803
entropy,out.dblp-author,16,1872469,15800
entropy,out.dblp-author,32,2250426,15478
entropy,out.dblp-author,64,2495522,15050
entropy,out.dblp-author,128,2649175,14418
entropy,out.dblp-author,256,2737996,13774
entropy,out.dblp-author-swap.txt,2,300869,22643
entropy,out.dblp-author-swap.txt,4,981245,23935
entropy,out.dblp-author-swap.txt,8,913575,24782
entropy,out.dblp-author-swap.txt,16,1046098,25903
entropy,out.dblp-author-swap.txt,32,1186135,26804
entropy,out.dblp-author-swap.txt,64,1330589,25003
entropy,out.dblp-author-swap.txt,128,1468865,23285
entropy,out.dblp-author-swap.txt,256,1581055,23458
entropy,reuters.txt,2,80571,51387
entropy,reuters.txt,4,209929,70335
entropy,reuters.txt,8,400965,110534
entropy,reuters.txt,16,654659,224971
entropy,reuters.txt,32,971194,412637
entropy,reuters.txt,64,1364821,788707
entropy,reuters.txt,128,1855003,1527141
entropy,reuters.txt,256,2493191,2825742
entropy,reuters-swap.txt,2,106202,36486
entropy,reuters-swap.txt,4,252079,39012
entropy,reuters-swap.txt,8,535730,40582
entropy,reuters-swap.txt,16,979594,38583
entropy,reuters-swap.txt,32,1627826,40542
entropy,reuters-swap.txt,64,2560946,45497
entropy,reuters-swap.txt,128,3855991,54893
entropy,reuters-swap.txt,256,5613242,71679
entropy,out.trackers,2,3572,223761
entropy,out.trackers,4,615309,253162
entropy,out.trackers,8,1207529,325716
entropy,out.trackers,16,1906030,468041
entropy,out.trackers,32,2748257,750811
entropy,out.trackers,64,3723073,1317197
entropy,out.trackers,128,4802678,2427842
entropy,out.trackers,256,5961544,4667716
entropy,out.trackers-swap.txt,2,36615,172530
entropy,out.trackers-swap.txt,4,1314434,177152
entropy,out.trackers-swap.txt,8,2565179,186770
entropy,out.trackers-swap.txt,16,3726530,201287
entropy,out.trackers-swap.txt,32,5027432,231421
entropy,out.trackers-swap.txt,64,6584225,285076
entropy,out.trackers-swap.txt,128,8327106,394862
entropy,out.trackers-swap.txt,256,10237304,595488
entropy,out.orkut-groupmemberships,2,1282553,410742
entropy,out.orkut-groupmemberships,4,5349825,484691
entropy,out.orkut-groupmemberships,8,11724712,656031
entropy,out.orkut-groupmemberships,16,19897207,919769
entropy,out.orkut-groupmemberships,32,28434809,1415519
entropy,out.orkut-groupmemberships,64,37762744,2285579
entropy,out.orkut-groupmemberships,128,47441526,3567534
entropy,out.orkut-groupmemberships,256,57852026,6540275
entropy,out.orkut-groupmemberships-swap.txt,2,1227493,364811
entropy,out.orkut-groupmemberships-swap.txt,4,3015009,396169
entropy,out.orkut-groupmemberships-swap.txt,8,5677452,447992
entropy,out.orkut-groupmemberships-swap.txt,16,9223655,553954
entropy,out.orkut-groupmemberships-swap.txt,32,13916285,730412
entropy,out.orkut-groupmemberships-swap.txt,64,19503372,984710
entropy,out.orkut-groupmemberships-swap.txt,128,26251443,1369079
entropy,out.orkut-groupmemberships-swap.txt,256,34237272,1963880
entropy,enwiki.txt,2,937530,429451
entropy,enwiki.txt,4,1960657,434503
entropy,enwiki.txt,8,3397636,443902
entropy,enwiki.txt,16,5269430,478837
entropy,enwiki.txt,32,7660649,513081
entropy,enwiki.txt,64,10756233,604376
entropy,enwiki.txt,128,14851607,696274
entropy,enwiki.txt,256,20443465,879770
entropy,enwiki-swap.txt,2,19025,558530
entropy,enwiki-swap.txt,4,765685,620681
entropy,enwiki-swap.txt,8,1540402,750430
entropy,enwiki-swap.txt,16,2573854,1007046
entropy,enwiki-swap.txt,32,3983209,1536842
entropy,enwiki-swap.txt,64,5784262,2523775
entropy,enwiki-swap.txt,128,8024371,4325990
entropy,enwiki-swap.txt,256,10799035,7943438
anti-basic,out.github,2,6476,357
anti-basic,out.github,4,13370,348
anti-basic,out.github,8,24767,357
anti-basic,out.github,16,39357,379
anti-basic,out.github,32,55903,433
anti-basic,out.github,64,73997,503
anti-basic,out.github,128,92969,603
anti-basic,out.github,256,114461,736
anti-basic,out.github-swap.txt,2,11039,472
anti-basic,out.github-swap.txt,4,19499,473
anti-basic,out.github-swap.txt,8,25697,462
anti-basic,out.github-swap.txt,16,34996,486
anti-basic,out.github-swap.txt,32,47850,528
anti-basic,out.github-swap.txt,64,62785,597
anti-basic,out.github-swap.txt,128,80082,691
anti-basic,out.github-swap.txt,256,98177,805
anti-basic,out.actor-movie,2,57628,1403
anti-basic,out.actor-movie,4,116880,1409
anti-basic,out.actor-movie,8,153890,1413
anti-basic,out.actor-movie,16,200920,1439
anti-basic,out.actor-movie,32,238510,1492
anti-basic,out.actor-movie,64,307119,1626
anti-basic,out.actor-movie,128,361980,1724
anti-basic,out.actor-movie,256,444280,1947
anti-basic,out.actor-movie-swap.txt,2,39250,1690
anti-basic,out.actor-movie-swap.txt,4,67456,1693
anti-basic,out.actor-movie-swap.txt,8,121984,1755
anti-basic,out.actor-movie-swap.txt,16,190414,1891
anti-basic,out.actor-movie-swap.txt,32,250507,2082
anti-basic,out.actor-movie-swap.txt,64,299142,2143
anti-basic,out.actor-movie-swap.txt,128,346903,2230
anti-basic,out.actor-movie-swap.txt,256,403031,2380
anti-basic,out.dblp-author,2,488726,17998
anti-basic,out.dblp-author,4,969257,18479
anti-basic,out.dblp-author,8,1445397,18533
anti-basic,out.dblp-author,16,1908990,16718
anti-basic,out.dblp-author,32,2279796,14875
anti-basic,out.dblp-author,64,2522819,14668
anti-basic,out.dblp-author,128,2676375,14229
anti-basic,out.dblp-author,256,2773359,13990
anti-basic,out.dblp-author-swap.txt,2,530250,23818
anti-basic,out.dblp-author-swap.txt,4,1019499,25582
anti-basic,out.dblp-author-swap.txt,8,1142424,27292
anti-basic,out.dblp-author-swap.txt,16,1294859,28070
anti-basic,out.dblp-author-swap.txt,32,1491940,28034
anti-basic,out.dblp-author-swap.txt,64,1702526,27611
anti-basic,out.dblp-author-swap.txt,128,1854912,26903
anti-basic,out.dblp-author-swap.txt,256,1988432,27262
anti-basic,reuters.txt,2,97955,64012
anti-basic,reuters.txt,4,226644,84905
anti-basic,reuters.txt,8,427819,123473
anti-basic,reuters.txt,16,717540,201183
anti-basic,reuters.txt,32,1096858,344252
anti-basic,reuters.txt,64,1563946,621304
anti-basic,reuters.txt,128,2121593,1180409
anti-basic,reuters.txt,256,2820357,3222338
anti-basic,reuters-swap.txt,2,97171,39515
anti-basic,reuters-swap.txt,4,262827,39004
anti-basic,reuters-swap.txt,8,542514,38019
anti-basic,reuters-swap.txt,16,983806,39005
anti-basic,reuters-swap.txt,32,1635034,41553
anti-basic,reuters-swap.txt,64,2565042,46368
anti-basic,reuters-swap.txt,128,3856438,55049
anti-basic,reuters-swap.txt,256,5631934,69998
anti-basic,out.trackers,2,484156,317230
anti-basic,out.trackers,4,1036109,340017
anti-basic,out.trackers,8,1778793,367908
anti-basic,out.trackers,16,2618295,496705
anti-basic,out.trackers,32,3495652,756533
anti-basic,out.trackers,64,4518485,1261773
anti-basic,out.trackers,128,5656141,2183347
anti-basic,out.trackers,256,6899560,3906222
anti-basic,out.trackers-swap.txt,2,1330144,173030
anti-basic,out.trackers-swap.txt,4,1607255,168626
anti-basic,out.trackers-swap.txt,8,2737866,169541
anti-basic,out.trackers-swap.txt,16,3857293,174997
anti-basic,out.trackers-swap.txt,32,5202236,184777
anti-basic,out.trackers-swap.txt,64,6774912,199375
anti-basic,out.trackers-swap.txt,128,8591316,223968
anti-basic,out.trackers-swap.txt,256,10571403,253051
anti-basic,out.orkut-groupmemberships,2,725370,533247
anti-basic,out.orkut-groupmemberships,4,5424059,486454
anti-basic,out.orkut-groupmemberships,8,12176093,617441
anti-basic,out.orkut-groupmemberships,16,20446808,918036
anti-basic,out.orkut-groupmemberships,32,30030771,1399455
anti-basic,out.orkut-groupmemberships,64,40065694,2096690
anti-basic,out.orkut-groupmemberships,128,50392339,3670176
anti-basic,out.orkut-groupmemberships,256,61407629,6507574
anti-basic,out.orkut-groupmemberships-swap.txt,2,997680,542953
anti-basic,out.orkut-groupmemberships-swap.txt,4,3127097,541497
anti-basic,out.orkut-groupmemberships-swap.txt,8,5884337,561172
anti-basic,out.orkut-groupmemberships-swap.txt,16,9603011,632540
anti-basic,out.orkut-groupmemberships-swap.txt,32,14330049,697641
anti-basic,out.orkut-groupmemberships-swap.txt,64,20353219,1006908
anti-basic,out.orkut-groupmemberships-swap.txt,128,27155140,1571849
anti-basic,out.orkut-groupmemberships-swap.txt,256,35418043,2111457
anti-basic,enwiki.txt,2,973937,459023
anti-basic,enwiki.txt,4,2047112,418799
anti-basic,enwiki.txt,8,3433717,411021
anti-basic,enwiki.txt,16,5327866,434986
anti-basic,enwiki.txt,32,7762145,473029
anti-basic,enwiki.txt,64,10878376,490261
anti-basic,enwiki.txt,128,15082487,652774
anti-basic,enwiki.txt,256,20775250,774076
anti-basic,enwiki-swap.txt,2,277125,937627
anti-basic,enwiki-swap.txt,4,991821,861479
anti-basic,enwiki-swap.txt,8,1837201,811036
anti-basic,enwiki-swap.txt,16,2944246,1042108
anti-basic,enwiki-swap.txt,32,4463794,1511074
anti-basic,enwiki-swap.txt,64,6361660,2558599
anti-basic,enwiki-swap.txt,128,8735560,4429883
anti-basic,enwiki-swap.txt,256,11665845,7690531
random,out.github,2,27543,240
random,out.github,4,57552,278
random,out.github,8,88803,259
random,out.github,16,122263,272
random,out.github,32,156519,288
random,out.github,64,191439,385
random,out.github,128,224266,377
random,out.github,256,252880,342
random,out.github-swap.txt,2,26292,275
random,out.github-swap.txt,4,61071,232
random,out.github-swap.txt,8,104610,202
random,out.github-swap.txt,16,155987,238
random,out.github-swap.txt,32,209930,267
random,out.github-swap.txt,64,261364,304
random,out.github-swap.txt,128,304210,262
random,out.github-swap.txt,256,334934,252
random,out.actor-movie,2,107605,789
random,out.actor-movie,4,239214,747
random,out.actor-movie,8,391846,779
random,out.actor-movie,16,555436,915
